ID,name,popularity
0,Welcome To New York (Taylor's Version),71
1,Blank Space (Taylor's Version),72
2,Style (Taylor's Version),73
3,Out Of The Woods (Taylor's Version),72
4,All You Had To Do Was Stay (Taylor's Version),70
5,Shake It Off (Taylor's Version),70
6,I Wish You Would (Taylor's Version),69
7,Bad Blood (Taylor's Version),69
8,Wildest Dreams (Taylor's Version),70
9,How You Get The Girl (Taylor's Version),69
10,This Love (Taylor’s Version),68
11,I Know Places (Taylor's Version),70
12,Clean (Taylor's Version),70
13,Wonderland (Taylor's Version),69
14,You Are In Love (Taylor's Version),69
15,New Romantics (Taylor's Version),70
16,"""Slut!"" (Taylor's Version) (From The Vault)",74
17,Say Don't Go (Taylor's Version) (From The Vault),73
18,Now That We Don't Talk (Taylor's Version) (From The Vault),75
19,Suburban Legends (Taylor's Version) (From The Vault),71
20,Mine (Taylor's Version),82
21,Sparks Fly (Taylor’s Version),79
22,Back To December (Taylor's Version),83
23,Speak Now (Taylor's Version),77
24,Dear John (Taylor's Version),78
25,Mean (Taylor's Version),78
26,The Story Of Us (Taylor's Version),77
27,Never Grow Up (Taylor's Version),72
28,Enchanted (Taylor's Version),86
29,Better Than Revenge (Taylor's Version),79
30,Innocent (Taylor's Version),71
31,Haunted (Taylor's Version),75
32,Last Kiss (Taylor's Version),76
33,Long Live (Taylor's Version),80
34,Ours (Taylor’s Version),73
35,Superman (Taylor’s Version),69
36,Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),75
37,When Emma Falls in Love (Taylor’s Version) (From The Vault),74
38,I Can See You (Taylor’s Version) (From The Vault),83
39,Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),75
40,Lavender Haze,71
41,Maroon,71
42,Anti-Hero,71
43,Snow On The Beach (feat. Lana Del Rey),69
44,"You're On Your Own, Kid",72
45,Midnight Rain,71
46,Question...?,69
47,Vigilante Shit,70
48,Bejeweled,71
49,Labyrinth,69
50,Karma,70
51,Sweet Nothing,68
52,Mastermind,70
53,The Great War,70
54,Bigger Than The Whole Sky,68
55,Paris,68
56,High Infidelity,67
57,Glitch,67
58,"Would've, Could've, Should've",70
59,Dear Reader,68
60,State Of Grace (Taylor's Version),72
61,Red (Taylor's Version),80
62,Treacherous (Taylor's Version),72
63,I Knew You Were Trouble (Taylor's Version),81
64,All Too Well (Taylor's Version),77
65,22 (Taylor's Version),80
66,I Almost Do (Taylor's Version),71
67,We Are Never Ever Getting Back Together (Taylor's Version),81
68,Stay Stay Stay (Taylor's Version),71
69,The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),74
70,Holy Ground (Taylor's Version),71
71,Sad Beautiful Tragic (Taylor's Version),72
72,The Lucky One (Taylor's Version),70
73,Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),76
74,Starlight (Taylor's Version),70
75,Begin Again (Taylor's Version),73
76,The Moment I Knew (Taylor's Version),70
77,Come Back...Be Here (Taylor's Version),73
78,Girl At Home (Taylor's Version),68
79,State Of Grace (Acoustic Version) (Taylor's Version),67
80,Fearless (Taylor’s Version),83
81,Fifteen (Taylor’s Version),73
82,Love Story (Taylor’s Version),83
83,Hey Stephen (Taylor’s Version),71
84,White Horse (Taylor’s Version),73
85,You Belong With Me (Taylor’s Version),86
86,Breathe (feat. Colbie Caillat) (Taylor’s Version),69
87,Tell Me Why (Taylor’s Version),68
88,You’re Not Sorry (Taylor’s Version),70
89,The Way I Loved You (Taylor’s Version),82
90,Forever & Always (Taylor’s Version),73
91,The Best Day (Taylor’s Version),68
92,Change (Taylor’s Version),66
93,Jump Then Fall (Taylor’s Version),69
94,Untouchable (Taylor’s Version),69
95,Forever & Always (Piano Version) (Taylor’s Version),68
96,Come In With The Rain (Taylor’s Version),66
97,Superstar (Taylor’s Version),65
98,The Other Side Of The Door (Taylor’s Version),70
99,Today Was A Fairytale (Taylor’s Version),68
100,willow,74
101,champagne problems,75
102,gold rush,72
103,‘tis the damn season,73
104,tolerate it,74
105,"no body, no crime (feat. HAIM)",72
106,happiness,71
107,dorothea,70
108,coney island (feat. The National),71
109,ivy,71
110,cowboy like me,71
111,long story short,70
112,marjorie,71
113,closure,68
114,evermore (feat. Bon Iver),72
115,right where you left me - bonus track,83
116,it’s time to go - bonus track,74
117,the 1,56
118,cardigan,56
119,the last great american dynasty,54
120,exile (feat. Bon Iver),56
121,my tears ricochet,55
122,mirrorball,54
123,seven,53
124,august,55
125,this is me trying,54
126,illicit affairs,54
127,invisible string,54
128,mad woman,52
129,epiphany,51
130,betty,52
131,peace,51
132,hoax,50
133,the lakes - bonus track,52
134,the 1 - the long pond studio sessions,61
135,cardigan - the long pond studio sessions,62
136,the last great american dynasty - the long pond studio sessions,59
137,the 1,75
138,cardigan,75
139,the last great american dynasty,73
140,exile (feat. Bon Iver),74
141,my tears ricochet,75
142,mirrorball,73
143,seven,72
144,august,74
145,this is me trying,73
146,illicit affairs,74
147,invisible string,73
148,mad woman,71
149,epiphany,70
150,betty,72
151,peace,70
152,hoax,70
153,the lakes - bonus track,74
154,I Forgot That You Existed,78
155,Cruel Summer,99
156,Lover,93
157,The Man,87
158,The Archer,84
159,I Think He Knows,79
160,Miss Americana & The Heartbreak Prince,84
161,Paper Rings,86
162,Cornelia Street,81
163,Death By A Thousand Cuts,79
164,London Boy,80
165,Soon You’ll Get Better (feat. The Chicks),73
166,False God,79
167,You Need To Calm Down,85
168,Afterglow,82
169,ME! (feat. Brendon Urie of Panic! At The Disco),81
170,It’s Nice To Have A Friend,73
171,Daylight,85
172,...Ready For It?,87
173,End Game,82
174,I Did Something Bad,83
175,Don’t Blame Me,92
176,Delicate,88
177,Look What You Made Me Do,88
178,So It Goes...,77
179,Gorgeous,83
180,Getaway Car,87
181,King Of My Heart,80
182,Dancing With Our Hands Tied,79
183,Dress,82
184,This Is Why We Can't Have Nice Things,78
185,Call It What You Want,82
186,New Year’s Day,78
187,All Too Well,42
188,Wildest Dreams,44
189,The Best Day,36
190,Red,40
191,Holy Ground,36
192,Teardrops On My Guitar - Radio Single Remix,39
193,Our Song,44
194,22,41
195,I Knew You Were Trouble.,42
196,I Don’t Wanna Live Forever (Fifty Shades Darker),86
197,Mean,39
198,How You Get The Girl,37
199,So It Goes...,59
200,Fifteen,36
201,Mine,44
202,Sparks Fly,37
203,State Of Grace,34
204,Haunted,36
205,Never Grow Up,35
206,Treacherous,34
207,Sparks Fly - Live/2011,49
208,Mine - Live/2011,48
209,The Story Of Us - Live,48
210,Mean - Live/2011,48
211,Ours - Live/2011,47
212,Back To December/Apologize/You're Not Sorry - Live/2011/Medley,54
213,Better Than Revenge - Live/2011,49
214,Speak Now - Live/2011,48
215,Last Kiss - Live/2011,48
216,Drops Of Jupiter - Live/2011,53
217,Bette Davis Eyes - Live/2011,50
218,I Want You Back - Live/2011,50
219,Dear John - Live/2011,48
220,Enchanted - Live/2011,49
221,Haunted - Live/2011,48
222,Long Live - Live/2011,49
223,Love Story - Live From Clear Channel Stripped 2008,42
224,Fearless - Live From Clear Channel Stripped 2008,41
225,Beautiful Eyes - Live From Clear Channel Stripped 2008,44
226,Untouchable - Live From Clear Channel Stripped 2008,38
227,Teardrops On My Guitar - Live From Clear Channel Stripped 2008,37
228,Picture To Burn - Live From Clear Channel Stripped 2008,37
229,Should've Said No - Live From Clear Channel Stripped 2008,37
230,Change - Live From Clear Channel Stripped 2008,34
231,Tim McGraw,61
232,Picture To Burn,67
233,Teardrops On My Guitar - Radio Single Remix,69
234,A Place in this World,61
235,Cold As You,61
236,The Outside,60
237,Tied Together with a Smile,59
238,Stay Beautiful,59
239,Should've Said No,66
240,Mary's Song (Oh My My My),61
241,Our Song,70
242,I'm Only Me When I'm With You,61
243,Invisible,59
244,A Perfectly Good Heart,58
245,Teardrops on My Guitar - Pop Version,60